x,y,Hole depth (m)
0.726631227,795.1207856,0
6.171441295,793.4222365,5.703597624
11.61625136,791.624502,11.43751478
17.06106143,789.9259528,17.14111241
22.5058715,788.2274037,22.84471003
27.95068156,786.5536509,28.54097241
33.39549163,784.8674999,34.24089011
38.8403017,783.1069599,39.96325481
44.28511177,781.4580035,45.65228056
49.72992183,779.7222598,51.36706513
55.1747319,777.974118,57.08562758
60.61954197,776.2507725,62.79665869
66.06435204,774.5150289,68.51144326
71.5091621,772.6800999,74.25713044
76.95397217,770.8823654,79.99104759
82.39878224,769.0846309,85.72496475
87.84359231,767.3612854,91.43599586
93.28840237,765.5263564,97.18168303
98.73321244,763.7658164,102.9040477
104.1780225,761.9432856,108.6457875
109.6228326,760.2199401,114.3568186
115.0676426,758.5337892,120.0567363
120.5124527,756.7484528,125.7867784
125.9572628,755.2110799,131.4444698
131.4020728,753.5745216,137.1299144
136.8468829,751.9627596,142.8082709
142.291693,750.2394142,148.519302
147.736503,748.5160687,154.2303331
153.1813131,746.7679269,159.9488956
158.6261232,745.0569796,165.6561977
164.0709333,743.2840414,171.382389
169.5157433,741.6226868,177.0750207
174.9605534,739.9613321,182.7676524
180.4053635,738.2875793,188.4639148
185.8501735,736.6758174,194.1422713
191.2949836,735.0640554,199.8206279
196.7397937,733.7498495,205.4217969
202.1846037,732.2496711,211.0694948
207.6294138,730.9478633,216.6677678
213.0742239,729.7576391,222.2411501
218.5190339,728.5798131,227.8118979
223.963844,727.5507651,233.3530978
229.4086541,726.5713097,238.8853025
234.8534641,725.7406324,244.3931135
240.2982742,724.9719459,249.8919166
245.7430843,724.2156576,255.3890002
251.1878943,723.508962,260.8794807
256.6327044,722.9510444,266.3528004
262.0775145,722.4427195,271.8212875
267.5223245,721.9839872,277.2853877
272.9671346,721.599644,282.7437461
278.4119447,721.3640788,288.1936496
283.8567547,721.2524953,293.6396029
289.3015648,721.0913191,299.086798
294.7463749,721.0913191,304.5316081
300.1911849,721.1037172,309.9764323
305.635995,721.2153007,315.4223856
311.0808051,721.1409117,320.8677038
316.5256151,721.0789209,326.3128667
321.9704252,720.868152,331.7617547
327.4152353,720.8185593,337.2067906
332.8600453,720.8185593,342.6516007
338.3048554,720.8309575,348.0964249
343.7496655,720.8309575,353.5412349
349.1944755,720.8433557,358.9860591
354.6392856,720.7813648,364.4312221
360.0840957,720.6821795,369.8769355
365.5289057,720.7069758,375.321802
370.9737158,720.8309575,380.7680235
376.4185259,720.9797355,386.2148658
381.863336,721.1409117,391.6620609
387.308146,721.4384678,397.1149956
392.7529561,721.7360238,402.5679302
398.1977662,722.0211817,408.0202024
403.6425762,722.2691451,413.4706558
409.0873863,722.4675158,418.9190783
414.5321964,722.8270627,424.3757467
419.9770064,723.0750261,429.8262002
425.4218165,723.3229895,435.2766536
430.8666266,723.5957492,440.7282914
436.3114366,723.8437126,446.1787448
441.7562467,724.0296851,451.62673
447.2010568,724.2280558,457.0751524
452.6458668,724.4388247,462.5240404
458.0906769,724.4388247,467.9688505
463.535487,724.6371954,473.417273
468.980297,724.5256118,478.8632263
474.4251071,724.6371954,484.3091796
479.8699172,724.686788,489.7542155
485.3147272,724.8107697,495.200437
490.7595373,724.9843441,500.648013
496.2043474,725.2942983,506.1016383
501.6491574,725.5050672,511.5505262
507.0939675,725.7530306,517.0009797
512.5387776,726.1745683,522.4620831
517.9835876,726.4225317,527.9125365
523.4283977,726.8688658,533.3756099
528.8732078,727.1664218,538.8285446
